user,Welches Geschlecht haben Sie?,Wurden Sie in Deutschland geboren?,Wurde Ihre Mutter in Deutschland geboren?,Wurde Ihr Vater in Deutschland geboren?,"Hier ist eine Liste mit Klassen des monatlichen Haushaltseinkommens. Bitte geben Sie an, in welcher Klasse sich Ihr Haushalt befindet, wenn Sie das monatliche Nettoeinkommen aller Haushaltsmitglieder zusammenzählen: Löhne, Renten und andere Einkommen nach allen Abzügen für Steuern und Sozialversicherungen.","Was ist der höchste allgemeinbildende Schulabschluss, den Sie erreicht haben?","Was ist der höchste Studienabschluss, den Sie erreicht haben?","Was ist der höchste berufliche Ausbildungsabschluss, den Sie erreicht haben?","Sind Sie zurzeit berufstätig oder nicht? Bitte wählen Sie von dieser Liste das aus, was auf Sie zutrifft.",Welchen Familienstand haben Sie?,Welcher Religionsgemeinschaft gehören Sie an?,Welcher dieser Berufsgruppen ordnen Sie sich primär zu?,Was ist Ihre Postleitzahl? ,Wie alt sind Sie? 
IDDE100077,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Berufliche Zweitausbildung,"Rentner, Ruhestand","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",53175,79
IDDE100078,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,Studierende,45359,20
IDDE100079,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",82256,32
IDDE100080,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",59368,35
IDDE100081,männlich,Ja,Ja,Ja,bis 1100 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,"Rentner, Ruhestand",Geschieden,keine Antwort,"Beschäftigte/r in der Landwirtschaft wie: Landarbeiter/in, Traktorfahrer/in",15366,62
IDDE100082,männlich,Ja,Nein,Nein,über 1100 bis 1500 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,keine Antwort,keine Antwort,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,keine Antwort,21255,18
IDDE100083,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Berufsqualifizierender Abschluss einer Berufsfachschule/eines Kollegs,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),"Beschäftigte/r in der Landwirtschaft wie: Landarbeiter/in, Traktorfahrer/in",95168,25
IDDE100084,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Beruflich-betriebliche Anlernzeit mit Abschlusszeugnis, aber keine Lehre; Teilfacharbeiterabschluss",30 Stunden in der Woche oder mehr,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",94539,35
IDDE100085,männlich,Ja,Ja,Ja,über 1800 bis 2200 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),keine Antwort,"Beruflich-betriebliche Anlernzeit mit Abschlusszeugnis, aber keine Lehre; Teilfacharbeiterabschluss",30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",25746,59
IDDE100086,männlich,Ja,Ja,Ja,über 1800 bis 2200 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",93053,60
IDDE100087,weiblich,Ja,Nein,Ja,über 1100 bis 1500 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,Selbstständig,Verwitwet,Einer evangelischen Freikirche,weiss nicht,77866,55
IDDE100088,weiblich,Ja,Nein,Nein,über 2600 bis 3000 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Abgeschlossene kaufmännische Lehre,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung",Verheiratet,Der russisch-orthodoxen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",54290,26
IDDE100089,weiblich,Ja,Ja,Ja,über 4250 bis 5250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Bachelor einer Berufsakademie,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Verheiratet,Unknown,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",90518,31
IDDE100090,weiblich,Ja,Ja,Ja,über 2600 bis 3000 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Verwitwet,keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",38690,67
IDDE100092,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Anderer beruflicher Ausbildungsabschluss,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",85134,19
IDDE100093,weiblich,Ja,Ja,Ja,über 1500 bis 1800 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Geschieden,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",14547,57
IDDE100094,weiblich,Nein,Nein,Nein,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Bachelor einer Verwaltungs-/Fachhochschule,Anderer beruflicher Ausbildungsabschluss,Weniger als 30 Stunden in der Woche,Verheiratet,Der griechisch-orthodoxen Kirche,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",24983,45
IDDE100095,weiblich,Nein,Ja,Nein,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Geschieden,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",60431,60
IDDE100096,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Bachelor einer Verwaltungs-/Fachhochschule,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",45279,32
IDDE100098,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",45529,73
IDDE100099,männlich,Ja,Ja,Ja,über 2600 bis 3000 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",38100,53
IDDE100100,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",39418,66
IDDE100101,männlich,Ja,Ja,Nein,über 3560 bis 4250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Berufsqualifizierender Abschluss einer Berufsfachschule/eines Kollegs,Dauerhaft arbeitsunfähig wegen einer Behinderung,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",78549,54
IDDE100102,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Berufliche Zweitausbildung,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",78592,38
IDDE100103,männlich,Nein,Nein,Nein,über 1800 bis 2200 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,"Rentner, Ruhestand",Verheiratet,keine Antwort,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",29683,58
IDDE100105,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",57562,35
IDDE100106,divers,Ja,Ja,Nein,über 1500 bis 1800 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",73098,18
IDDE100107,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Bachelor einer Berufsakademie,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",81245,35
IDDE100108,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,keine Antwort,keine Antwort,30 Stunden in der Woche oder mehr,Geschieden,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",45699,47
IDDE100109,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Berufsqualifizierender Abschluss einer Berufsfachschule/eines Kollegs,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",21075,35
IDDE100110,weiblich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Abschlusszeugnis für medizinische Assistenten, Krankenschwestern/ -pfleger (2- bis 3- jährige Schulen des Gesundheitswesens)","Rentner, Ruhestand",Geschieden,Der römisch-katholischen Kirche,Dienstleistungsberufe in der medizinischen und Alterspflege,37445,70
IDDE100111,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Bachelor einer Verwaltungs-/Fachhochschule,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",22880,45
IDDE100112,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Abgeschlossene kaufmännische Lehre,"Schüler, Student, in Ausbildung",keine Antwort,Der evangelischen Kirche (ohne Freikirchen),"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",37085,25
IDDE100114,männlich,Ja,Ja,Ja,über 2600 bis 3000 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,"Rentner, Ruhestand","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",97650,56
IDDE100115,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,"Rentner, Ruhestand",Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",76703,73
IDDE100117,männlich,Nein,Nein,Nein,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,weiss nicht,65936,58
IDDE100118,weiblich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Vom Partner / von der Partnerin in Trennung lebend,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",61184,71
IDDE100119,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,keine Antwort,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)","Rentner, Ruhestand",Geschieden,Der römisch-katholischen Kirche,Dienstleistungsberufe in der medizinischen und Alterspflege,40699,67
IDDE100120,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Laufbahnprüfung für den mittleren Dienst,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",47167,57
IDDE100121,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Master einer Verwaltungs-/Fachhochschule,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)",30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,Dienstleistungsberufe in der medizinischen und Alterspflege,46282,47
IDDE100122,männlich,Ja,Nein,Nein,über 2600 bis 3000 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Promotion; Habilitation,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",91781,31
IDDE100123,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),Dienstleistungsberufe in der medizinischen und Alterspflege,34119,42
IDDE100124,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Diplom einer Berufsakademie,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Verheiratet,Einer evangelischen Freikirche,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",21217,82
IDDE100125,männlich,Nein,Nein,Nein,über 1100 bis 1500 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Anderer Studienabschluss,Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",90453,29
IDDE100126,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",84453,59
IDDE100127,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Vom Partner / von der Partnerin in Trennung lebend,Der römisch-katholischen Kirche,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",66606,48
